nome_cultura,safraini,safrafin,cod_cultura,cod_ciclo,cod_solo,geocodigo,uf,municipio,cod_munic,cod_meso,cod_micro,dec1,dec2,dec3,dec4,dec5,dec6,dec7,dec8,dec9,dec10,dec11,dec12,dec13,dec14,dec15,dec16,dec17,dec18,dec19,dec20,dec21,dec22,dec23,dec24,dec25,dec26,dec27,dec28,dec29,dec30,dec31,dec32,dec33,dec34,dec35,dec36,risco_medio
Arroz Sequeiro,2018,2019,12010900000011,20,1,3104502,MG,Arinos,22332,3101,310101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,2.22
Arroz Sequeiro,2018,2019,12010900000011,20,1,3108206,MG,Bonfinópolis De Minas,6262,3101,310101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,2.22
Arroz Sequeiro,2018,2019,12010900000011,20,1,3109303,MG,Buritis,9726,3101,310101,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,40,40,0,0,0,5.0
Arroz Sequeiro,2018,2019,12010900000011,20,1,3122470,MG,Dom Bosco,53129,3101,310101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,2.22
Arroz Sequeiro,2018,2019,12010900000011,20,1,3126208,MG,Formoso,39590,3101,310101,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0,0,0,0,4.44
Arroz Sequeiro,2018,2019,12010900000011,20,1,3144375,MG,Natalândia,53370,3101,310101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,2.22
Arroz Sequeiro,2018,2019,12010900000011,20,1,3170404,MG,Unaí,8693,3101,310101,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,40,40,0,0,0,5.83
Arroz Sequeiro,2018,2019,12010900000011,20,1,3170479,MG,Uruana De Minas,53772,3101,310101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,2.22
Arroz Sequeiro,2018,2019,12010900000011,20,2,3104502,MG,Arinos,22332,3101,310101,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40,40,0,0,0,5.0
Arroz Sequeiro,2018,2019,12010900000011,20,2,3108206,MG,Bonfinópolis De Minas,6262,3101,310101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,30,0,0,0,0,2.22
